科目区分,必修区分,授業科目,単位数,担当教員
一般,必修選択,英語演習Ⅱ,1,"小澤 健志,豊岡 めぐみ,岩崎 洋一"
一般,必修選択,英会話Ⅱ,1,"岩崎 洋一,瀬川 直美,GRANT James,Shion Heigen"
一般,選択,国文学,1,加田  謙一郎
一般,選択,心理学,1,小谷 俊博
一般,選択,法学,1,"小谷 俊博,佐々木 誠矢"
一般,選択,ドイツ語ⅢA,1,柴田 育子
一般,選択,中国語ⅡA,1,"武長 玄次郎,武長 玄次郎,儲 暁菲,安 平"
一般,選択,ドイツ語ⅢB,1,柴田 育子
一般,選択,中国語ⅡB,1,"武長 玄次郎,武長 玄次郎,儲 暁菲,安 平"
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
一般,必修(留学生）,日本語ⅢA,1,"田嶋 彩香,小高 愛"
一般,必修(留学生）,日本語ⅢB,1,"田嶋 彩香,小高 愛"
専門,必修,数値計算,2,SAPKOTA ACHYUT
専門,必修,ソフトウェア設計Ⅰ,2,能城  沙織
専門,必修,ソフトウェア設計Ⅱ,2,能城  沙織
専門,必修,情報理論Ⅰ,1,和田 州平
専門,必修,情報理論Ⅱ,1,和田 州平
専門,必修,ネットワークシステムⅠ,2,"和﨑 浩幸,下馬場 朋禄"
専門,必修,ネットワークシステムⅡ,2,"和﨑 浩幸,下馬場 朋禄"
専門,必修,卒業研究,8,"大枝 真一,齋藤 康之,丸山 真佐夫,米村 恵一,和﨑 浩幸,和田 州平,SAPKOTA ACHYUT,栗本 育三郎,能城  沙織"
専門,選択,画像情報システム,1,和﨑 浩幸
専門,選択,知能システム,1,大枝 真一
専門,選択,制御情報システム,1,SAPKOTA ACHYUT
専門,選択,分散情報システム,1,丸山 真佐夫
専門,選択,信号処理工学,1,安井 希子
専門,選択,認知科学,1,能城  沙織
専門,選択,データマイニング,1,大枝 真一
専門,選択,バイオインフォマティクス,1,SAPKOTA ACHYUT
専門,選択,メディアデザイン,1,"吉澤 陽介,非常勤"
専門,選択,計測システム,1,"SAPKOTA ACHYUT,栗本 育三郎"
